node_name,"LFP peak (avg, mV)","LFP peak (std, mV)","early spike median timing
(avg, ms)","early spike median timing
(std, ms)",early spike num (avg),early spike num (std),"early spike first timing
(avg, ms)","early spike first timing
(std, ms)","sustained spike median timing
(avg, ms)","sustained spike median timing
(std, ms)",sustained spike num (avg),sustained spike num (std),"sustained spike first timing
(avg, ms)","sustained spike first timing
(std, ms)","pre-stim spont FR (avg, Hz)","pre-stim spont FR (std, Hz)",Spike width (ms),Spike asymmetry (a.u.),CV2 (a.u.),ACG rise time (s),cohort
"(Cohort_PV_JUX Mice_JPCM09239 Fov_only Cell_004, Template_PassivePuff_JuxtaCellular_FromJS_202509 Day_250805 Session_250805_004_154900)",-1.1341416861533298,0.5639790254331303,20.118125000023745,4.315527696221651,2.1176470588235294,1.0782531046954917,16.230625000019927,7.277452738380102,260.86720588236705,81.69334886519653,10.352941176470589,7.287710658608684,131.0032352941331,73.90482682321421,19.352941176470587,13.453366849408928,0.27839183786481625,0.22431131861058565,0.8098053779814554,0.0075,PV_JUX
"(Cohort_PV_JUX Mice_JPCM09240 Fov_only Cell_001, Template_PassivePuff_JuxtaCellular_FromJS_202509 Day_250804 Session_250804_001_151457)",-1.21131469091242,0.8339207195219254,23.566612903272063,5.159238251322158,2.34375,1.2896068926227093,18.56580645166574,7.347688587256781,281.3407812500408,107.8670093152287,34.375,16.337743877292237,63.29937500003524,54.54256428109088,24.53125,11.412669426453217,0.3070198394646467,0.13963777392650378,0.770613395156629,0.019500000000000003,PV_JUX
"(Cohort_PV_JUX Mice_JPCM09244 Fov_only Cell_002, Template_PassivePuff_JuxtaCellular_FromJS_202509 Day_250806 Session_250806_002_154609)",-1.1133278017844699,0.7588793561618462,20.7399999999944,3.995544393450211,1.625,1.1110243021644486,17.747142857136364,6.666088410299383,342.52863636363105,106.50334254445282,2.375,2.394655507583502,253.90363636363006,157.72383674539213,14.25,6.628536791781426,0.2628759155118726,0.22748459734686932,0.833783720825228,0.018500000000000003,PV_JUX
"(Cohort_PV_JUX Mice_JPCM09244 Fov_only Cell_003, Template_PassivePuff_JuxtaCellular_FromJS_202509 Day_250806 Session_250806_003_161157)",-1.1677068553229903,0.5917102366165314,23.465892857148063,4.393976610397121,1.9666666666666666,1.1396880664852505,20.872142857147477,5.677150541007379,279.34166666667437,81.21748783701007,17.4,6.824465791058912,98.65500000000817,76.47623067550589,22.866666666666667,14.228453496037048,0.4038687325385277,0.12959485298098491,0.738268635371268,0.0125,PV_JUX
"(Cohort_PV_JUX Mice_JPCM09244 Fov_only Cell_004, Template_PassivePuff_JuxtaCellular_FromJS_202509 Day_250806 Session_250806_004_162507)",-0.8625211123426408,0.38569427113226906,22.839166666675226,5.134829936050606,2.0606060606060606,1.0992943725586093,16.638333333343525,9.184810679713154,178.6725757575839,87.7662892773593,17.545454545454547,14.53958214790964,52.579393939398734,12.773586368889035,20.303030303030305,9.449979472431925,0.2821630030588602,0.18222976134812166,0.7679956894082307,0.0155,PV_JUX
"(Cohort_PV_JUX Mice_JPCM09244 Fov_only Cell_006, Template_PassivePuff_JuxtaCellular_FromJS_202509 Day_250806 Session_250806_006_165746)",-0.8081326034218465,0.3216037504225843,21.25071428572909,3.4405579163137148,3.142857142857143,1.0182016960688838,15.211428571441436,6.046076481180702,279.9468181818315,99.09748247588182,6.914285714285715,4.073408040108982,140.46727272728555,105.04037037117513,18.542857142857144,12.29016530667127,0.28635856190424225,0.2003719884690012,0.7632175398263811,0.013500000000000002,PV_JUX
"(Cohort_PV_JUX Mice_JPCM09245 Fov_only Cell_004, Template_PassivePuff_JuxtaCellular_FromJS_202509 Day_250807 Session_250807_004_154346)",-1.8355639730908637,0.8866266595470603,23.590000000022354,4.400568145161641,0.061224489795918366,0.2397416351932802,23.590000000022354,4.400568145161641,,,0.0,0.0,,,0.0,0.0,0.22077017759791487,0.3172001183221391,1.051950618273986,0.026500000000000003,PV_JUX
"(Cohort_PV_JUX Mice_JPCM09245 Fov_only Cell_005, Template_PassivePuff_JuxtaCellular_FromJS_202509 Day_250807 Session_250807_005_161110)",-1.601571382579813,0.5066423875111521,19.1358333333298,0.9220015214494939,3.5,0.5,15.97333333333199,0.8498365855986633,92.72749999999874,26.41041757053528,2.5,2.29128784747792,66.85250000000221,18.59426574915071,10.5,5.057996968497839,0.5083552590682382,0.15055704475442114,0.9405764543127827,0.009500000000000001,PV_JUX
"(Cohort_PV_JUX Mice_JPCM09245 Fov_only Cell_006, Template_PassivePuff_JuxtaCellular_FromJS_202509 Day_250807 Session_250807_006_161750)",-0.9688441553501913,0.5204486434766421,17.629583333329535,2.738126989335142,3.230769230769231,1.2498520622516862,11.214999999997607,4.952040825087808,201.2284615384553,112.84818282482182,9.615384615384615,8.081683578775875,109.73999999999452,109.10614274464817,30.46153846153846,21.988162495780053,0.8423609662721139,0.07837937183051202,0.7237947656174172,0.0125,PV_JUX
"(Cohort_PV_JUX Mice_JPCM09245 Fov_only Cell_007, Template_PassivePuff_JuxtaCellular_FromJS_202509 Day_250807 Session_250807_007_162744)",-1.128175338458804,0.34332514849785095,19.20176470589574,3.0869282948546126,2.9705882352941178,1.0706043954824291,14.16058823530682,6.474101319043542,217.56812500001132,79.44052997516084,12.676470588235293,8.305634473888242,97.07593750001209,55.710388442113555,17.058823529411764,10.229545376795441,0.3494608795640368,0.15060240897820185,0.7715824054566132,0.0125,PV_JUX
